Post_ID,Platform,Content_Type,Category,Likes,Comments,Shares,Views,Saves,Engagement_Rate,Viral_Score,Viral_Level,Is_High_Viral
POST_04552,Instagram,Carousel,Business,8287,247,51,29502,20,3.85,26.543257989088076,Low,False
POST_02171,LinkedIn,Document,Health,1711,27,247,24538,139,0.63,49.76593625498008,Low,False
POST_00210,Instagram,Carousel,Food,1527,191,7,5460,359,0.78,20.874902572096644,Low,False
POST_01548,Facebook,Video,Sports,535,178,433,68246,740,0.27,55.475101626016254,Moderate,False
POST_01350,Instagram,Photo,Fitness,9706,35,118,25782,611,15.31,50.67030397505845,Moderate,False
POST_01582,Twitter,Poll,Sports,3767,83,522,59434,242,1.04,41.793259557344065,Low,False
POST_02656,Twitter,Poll,Lifestyle,1558,71,676,45929,92,0.89,26.393360160965795,Low,False
POST_00196,Twitter,Thread,Education,599,222,787,68904,314,5.19,48.49849094567404,Low,False
POST_00749,YouTube,Live,Food,6062,754,540,947740,1640,1.86,38.43423799582463,Low,False
POST_03049,Twitter,Thread,Travel,597,22,339,67556,74,0.2,13.470824949698187,Low,False
POST_04605,TikTok,Video,Travel,18977,966,2147,8088,2235,9.16,52.68469656992084,Moderate,False
POST_02119,Instagram,Carousel,Entertainment,1874,467,16,30977,688,3.49,42.533125487139515,Low,False
POST_00401,Instagram,Photo,Business,1867,125,281,44911,286,0.78,48.78409976617303,Low,False
POST_01803,Twitter,Poll,Sports,4926,205,1317,28491,466,4.34,81.34557344064386,Very High,True
POST_03737,LinkedIn,Poll,Lifestyle,1383,123,32,6603,59,0.81,31.897410358565736,Low,False
POST_03162,Instagram,Reel,Education,8387,360,179,13360,945,1.79,77.56819953234606,Very High,True
POST_00426,Facebook,Video,Sports,5540,375,632,73879,402,1.34,64.4435975609756,High,True
POST_00363,Facebook,Post,Technology,1048,256,457,75334,393,6.06,44.49441056910569,Low,False
POST_01038,LinkedIn,Post,Technology,1708,113,456,26761,259,0.57,85.88147410358566,Very High,True
POST_04592,Instagram,Story,Technology,6145,224,238,45738,517,2.69,61.459469992205776,Moderate,False
POST_00159,Instagram,Story,Fitness,4399,125,33,21640,787,1.06,41.56079501169134,Low,False
POST_02919,Twitter,Thread,Fitness,2837,260,1505,47775,332,3.81,71.49647887323944,High,True
POST_02915,Instagram,Reel,Food,1974,308,125,21531,662,1.19,50.475448168355406,Moderate,False
POST_04272,YouTube,Live,Travel,19612,881,609,22497,3392,5.78,63.64300626304802,Moderate,False
POST_01023,YouTube,Video,Gaming,6523,343,247,886932,98,1.46,14.916492693110648,Low,False
POST_02704,Instagram,Reel,Food,6327,440,130,935,289,4.91,48.08456742010912,Low,False
POST_02032,Facebook,Story,Lifestyle,2672,360,464,2203,659,103.34,63.83892276422765,Moderate,False
POST_01750,Instagram,Carousel,Fitness,1687,73,134,41648,732,1.61,45.8593141075604,Low,False
POST_03565,Facebook,Live,Business,1784,227,117,77227,192,0.51,23.927845528455283,Low,False
POST_03697,YouTube,Short,Lifestyle,9264,590,1840,720597,1210,14.63,56.503131524008346,Moderate,False
POST_04392,Facebook,Post,Lifestyle,6896,135,201,65197,354,1.93,40.32012195121951,Low,False
POST_02615,Twitter,Tweet,Fashion,156,131,1223,75745,121,0.3,37.02213279678068,Low,False
POST_04168,Instagram,Reel,Lifestyle,8448,490,202,29382,993,2.76,85.63912704598597,Very High,True
POST_02667,Instagram,Story,Fashion,1242,270,186,833,524,0.36,49.508963367108336,Low,False
POST_00013,TikTok,Video,Fitness,37311,858,4513,439758,2823,9.31,80.93667546174142,Very High,True
POST_00600,Instagram,Story,Fashion,5138,49,140,47958,245,1.46,33.64964925954793,Low,False
POST_03649,Facebook,Story,Travel,4532,332,707,24121,391,1.16,63.328252032520325,Moderate,False
POST_02620,Twitter,Retweet,Fitness,4492,244,997,24696,383,4.23,69.2907444668008,High,True
POST_03937,Twitter,Retweet,Fashion,3186,177,1551,27503,16,10.36,46.90392354124748,Low,False
POST_00255,Instagram,Carousel,Health,9902,174,48,760,226,2.71,33.35151987529228,Low,False
POST_01458,LinkedIn,Article,Gaming,615,72,309,18554,208,0.32,56.429282868525895,Moderate,False
POST_01115,Facebook,Live,Health,6283,165,569,49857,522,1.99,60.922256097560975,Moderate,False
POST_04061,Twitter,Tweet,Lifestyle,280,240,940,50483,119,0.3,37.61569416498995,Low,False
POST_02972,Instagram,Reel,Travel,545,440,95,46180,238,0.29,33.150818394388146,Low,False
POST_00620,LinkedIn,Article,Lifestyle,1635,90,194,14227,248,0.62,62.64940239043825,Moderate,False
